tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2001-D006,Davis Cup WG R1: SUI vs USA,Hard,4,D,20010209,4,104053,0,,Andy Roddick,R,188,USA,18.4366872,130,310,102567,0,,George Bastl,R,183,SUI,25.85078713,112,364,6-3 6-4,3,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-D077,Davis Cup WG PO: USA vs IND,Hard,4,D,20011012,1,104053,0,,Andy Roddick,R,188,USA,19.10746064,15,1540,103468,0,,Harsh Mankad,R,173,IND,21.91101985,736,14,6-3 6-4 6-1,5,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-D077,Davis Cup WG PO: USA vs IND,Hard,4,D,20011012,3,104053,0,,Andy Roddick,R,188,USA,19.10746064,15,1540,102233,0,,Leander Paes,R,178,IND,28.30937714,232,158,4-6 6-3 6-2 7-5,5,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-D004,Davis Cup WG R1: USA vs SVK,Hard,4,D,20020208,2,104053,0,,Andy Roddick,R,188,USA,19.43326489,17,1618,102466,0,,Jan Kroslak,R,188,SVK,27.30184805,269,123,6-4 6-4 6-7(5) 7-6(1),5,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-D004,Davis Cup WG R1: USA vs SVK,Hard,4,D,20020208,4,104053,0,,Andy Roddick,R,188,USA,19.43326489,17,1618,103971,0,,Karol Beck,R,180,SVK,19.84120465,268,123,6-4 7-6(5),3,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-D042,Davis Cup WG QF: USA vs ESP,Grass,4,D,20020405,1,104053,0,,Andy Roddick,R,188,USA,19.58658453,13,1845,103990,0,,Tommy Robredo,R,180,ESP,19.91786448,35,1010,6-3 7-5 7-6(7),5,QF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-D042,Davis Cup WG QF: USA vs ESP,Grass,4,D,20020405,3,104053,0,,Andy Roddick,R,188,USA,19.58658453,13,1845,103252,0,,Alberto Martin,R,175,ESP,23.61396304,38,963,6-2 6-4 6-2,5,QF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-D057,Davis Cup WG SF: FRA vs USA,Clay,4,D,20020920,1,103096,0,,Arnaud Clement,R,173,FRA,24.74743326,42,780,104053,0,,Andy Roddick,R,188,USA,20.04654346,11,1995,4-6 7-6(6) 7-6(5) 6-1,5,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-D057,Davis Cup WG SF: FRA vs USA,Clay,4,D,20020920,3,103206,0,,Sebastien Grosjean,R,175,FRA,24.30116359,9,2075,104053,0,,Andy Roddick,R,188,USA,20.04654346,11,1995,6-4 3-6 6-3 6-4,5,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-D084,Davis Cup WG PO: SVK vs USA,Clay,4,D,20030919,1,103103,0,,Dominik Hrbaty,R,183,SVK,25.69472964,60,626,104053,0,,Andy Roddick,R,188,USA,21.04312115,2,4165,3-6 6-3 6-4 6-4,5,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-D084,Davis Cup WG PO: SVK vs USA,Clay,4,D,20030919,3,104053,0,,Andy Roddick,R,188,USA,21.04312115,2,4165,103971,0,,Karol Beck,R,180,SVK,21.45106092,70,531,6-3 6-4 6-4,5,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-96,Athens Olympics,Hard,64,A,20040816,32,104053,2,,Andy Roddick,R,188,USA,21.96303901,2,4520,103581,0,,Flavio Saretta,R,183,BRA,24.13415469,100,426,6-3 7-6(4),3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-96,Athens Olympics,Hard,64,A,20040816,48,104053,2,,Andy Roddick,R,188,USA,21.96303901,2,4520,103163,0,,Tommy Haas,R,188,GER,26.37097878,46,755,4-6 6-3 9-7,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
